provider,category,name,serving_size,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugar_g,protein_g,entities
Chick-Fil-A,Breakfast,Chick-fil-A® Chicken Biscuit,153,460.0,23.0,8.0,0.0,45,1510,45,2,6,19,"['high-calorie','high-fat','high-sat-fat','low-cholesterol','high-sodium','mid-carb','mid-sugar','low-fiber','mid-protein','Chick-Fil-A','Breakfast','medium-portion']"
Chick-Fil-A,Breakfast,Spicy Chicken Biscuit,153,450.0,22.0,8.0,0.0,40,1570,44,2,5,19,"['high-calorie','high-fat','high-sat-fat','low-cholesterol','high-sodium','mid-carb','mid-sugar','low-fiber','mid-protein','Chick-Fil-A','Breakfast','medium-portion']"
Chick-Fil-A,Breakfast,4 ct Chick-fil-A Chick-n-Minis®,127,360.0,13.0,4.0,0.0,60,1060,41,2,8,20,"['mid-calorie','high-fat','mid-sat-fat','low-cholesterol','high-sodium','mid-carb','mid-sugar','low-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','Balanced-Meal']"
Chick-Fil-A,Breakfast,10 ct Chick-fil-A Chick-n-Minis®,318,910.0,34.0,10.0,0.0,150,2640,103,6,19,49,"['high-calorie','high-fat','high-sat-fat','mid-cholesterol','high-sodium','high-carb','high-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','large-portion','Gluten-Free']"
Chick-Fil-A,Breakfast,ct Chick-fil-A Chick-n-Minis® Football-Shaped Tray,318,910.0,34.0,10.0,0.0,150,2640,103,6,19,49,"['high-calorie','high-fat','high-sat-fat','mid-cholesterol','high-sodium','high-carb','high-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','large-portion','Gluten-Free']"
Chick-Fil-A,Breakfast,Egg White Grill,172,300.0,8.0,4.0,0.0,65,990,29,1,2,27,"['mid-calorie','mid-fat','mid-sat-fat','low-cholesterol','high-sodium','mid-carb','low-sugar','low-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','Balanced-Meal','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Nuggets,304,700.0,40.0,12.0,0.5,415,1770,51,3,2,34,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','high-carb','low-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','large-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Sausage,283,720.0,47.0,16.0,0.5,395,1450,46,3,1,28,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Grilled Filet,304,650.0,36.0,12.0,0.5,420,1650,46,3,2,36,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','large-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Spicy Chicken,266,660.0,37.0,11.0,0.5,250,1750,54,3,2,28,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','high-carb','low-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Bacon,271,680.0,42.0,14.0,0.5,395,1630,46,3,2,30,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with No Meat,251,580.0,34.0,11.0,0.5,330,1200,47,5,1,22,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','mid-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Nuggets - no hash browns,261,550.0,30.0,11.0,0.5,415,1530,38,2,2,33,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','low-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Sausage - no hash browns,240,570.0,37.0,14.0,0.5,395,1200,34,2,1,26,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','low-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Grilled Filet - no hash brown,261,500.0,26.0,10.0,0.5,420,1410,34,2,2,35,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','low-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Spicy Chicken - no hash browns,223,510.0,27.0,10.0,0.5,250,1510,41,2,2,27,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','low-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
Chick-Fil-A,Breakfast,Hash Brown Scramble Burrito with Bacon - no hash browns,228,540.0,32.0,13.0,0.5,395,1380,34,2,2,29,"['high-calorie','high-fat','high-sat-fat','high-cholesterol','high-sodium','mid-carb','low-sugar','low-fiber','high-protein','Chick-Fil-A','Breakfast','medium-portion','Gluten-Free','paleo']"
